N H2 O2 v p t
111 0.0 0.0 0.0 167594.5 20.0
112 0.0 0.0 0.0 167594.5 20.0
113 0.0 0.0 0.0 167594.5 20.0
114 0.0 0.0 0.0 167594.5 20.0
115 0.0 0.0 0.0 167594.5 20.0
116 0.0 0.0 0.0 167594.5 20.0
117 0.0 0.0 0.0 167594.5 20.0
118 0.0 0.0 0.0 167594.5 20.0
119 0.0 0.0 0.0 167594.5 20.0
120 0.0 0.0 0.0 167594.5 20.0
121 0.0 0.0 0.0 167594.5 20.0
122 0.0 0.0 0.0 167594.5 20.0
123 0.0 0.0 0.0 167594.5 20.0
124 0.05008705 0.1597711 0.1765741 167594.5 121.5981
125 0.0 0.0 0.0 167594.5 20.0
126 0.0 0.0 0.0 167594.5 20.0
127 0.08009018 0.1521977 0.1837534 167594.5 109.5783
128 0.08311501 0.1476656 0.1925694 167594.5 133.237
129 0.07526593 0.152499 0.1848264 167594.5 106.2389
130 0.04872032 0.1601623 0.1752075 167594.5 119.8913
131 0.05106652 0.1591425 0.1772751 167594.5 119.7361
132 0.0549726 0.1584472 0.1778001 167594.5 118.0643
133 0.05026336 0.1597008 0.1762955 167594.5 120.5577
134 0.04928558 0.160118 0.1754223 167594.5 118.641
135 0.05427002 0.1587238 0.1773843 167594.5 115.9854
136 0.05376811 0.1589641 0.1771201 167594.5 118.0315
137 0.04883775 0.1604551 0.1747315 167594.5 119.1092
138 0.04934658 0.1603365 0.1748898 167594.5 117.4602
139 0.05482615 0.1587661 0.176991 167594.5 114.8342
140 0.05588145 0.1585685 0.177163 167594.5 116.3144
141 0.04859062 0.1607169 0.1740668 167594.5 118.1035
142 0.04934097 0.1604653 0.1744918 167594.5 116.6578
143 0.05643258 0.1584296 0.1770589 167594.5 113.9041
144 0.05717037 0.1583823 0.1769065 167594.5 114.8951
145 0.04876447 0.1607679 0.1738284 167594.5 117.5158
146 0.049124 0.1606489 0.1737303 167594.5 114.314
147 0.05659537 0.1584425 0.1768489 167594.5 111.3271
148 0.05937777 0.1568254 0.1797158 167594.5 119.9451
149 0.04970635 0.1605221 0.1737669 167594.5 115.5036
150 0.04861731 0.158989 0.178459 167594.5 127.8703
