N H2 O2 H2O T(C) P 
110 0.0000 0.2190 0.0010 44.6800 101366.0000 
111 0.0000 0.2190 0.0010 39.8500 101236.0000 
112 0.0000 0.2190 0.0010 39.8700 101714.0000 
113 0.0000 0.2190 0.0010 39.8500 101173.0000 
114 0.0000 0.2190 0.0010 39.8500 101611.0000 
115 0.0000 0.2190 0.0010 39.8500 101013.0000 
116 0.0000 0.2190 0.0010 39.8600 101437.0000 
117 0.0000 0.2190 0.0010 39.8700 101607.0000 
118 0.0000 0.2190 0.0010 40.0000 101914.0000 
119 0.0011 0.1865 0.1481 66.7200 184674.0000 
120 0.0010 0.1864 0.1487 66.8200 184675.0000 
121 0.0002 0.2091 0.0459 42.4100 184670.0000 
122 0.0004 0.2037 0.0703 50.8300 184672.0000 
123 0.0001 0.2062 0.0595 52.0800 184230.0000 
124 0.0074 0.1416 0.3453 87.0100 183806.0000 
125 0.0011 0.1876 0.1431 65.9800 184674.0000 
126 0.0000 0.2190 0.0010 39.8600 101704.0000 
127 0.0076 0.1409 0.3478 87.2000 184060.0000 
128 0.0070 0.1414 0.3465 87.1100 184108.0000 
129 0.0074 0.1409 0.3484 87.2500 184108.0000 
130 0.0073 0.1432 0.3381 86.4400 183806.0000 
131 0.0072 0.1451 0.3294 85.8000 183805.0000 
132 0.0073 0.1434 0.3369 86.3500 183806.0000 
133 0.0073 0.1433 0.3375 86.3900 183806.0000 
134 0.0083 0.1409 0.3472 87.3600 183881.0000 
135 0.0073 0.1437 0.3358 86.2900 183880.0000 
136 0.0072 0.1433 0.3379 86.4400 183881.0000 
137 0.0074 0.1428 0.3399 86.6000 183881.0000 
138 0.0091 0.1392 0.3536 88.1300 184061.0000 
139 0.0078 0.1426 0.3403 86.7200 184061.0000 
140 0.0072 0.1432 0.3382 86.4900 184061.0000 
141 0.0073 0.1427 0.3400 86.6200 184061.0000 
142 0.0093 0.1389 0.3548 88.3000 184106.0000 
143 0.0099 0.1383 0.3571 88.5000 184107.0000 
144 0.0077 0.1419 0.3436 86.9100 184106.0000 
145 0.0075 0.1421 0.3427 86.8300 184106.0000 
146 0.0097 0.1385 0.3560 88.6500 184155.0000 
147 0.0099 0.1383 0.3568 88.5300 184155.0000 
148 0.0076 0.1418 0.3440 86.9400 184154.0000 
149 0.0081 0.1414 0.3450 87.3100 184154.0000 
150 0.0070 0.1501 0.3070 84.0100 183619.0000 
